,Wavelength(nm),Band-2 – R1,,,Wavelength(nm),Band-3 – R1,Wavelength(nm),Band-4 – R1,Wavelength(nm),Band-5 – R1
,740,0.000193298447947,,,780,0.000210098230299,836,0.653669311877794,1536,0.155417516451731
,750,0.000192073217878,,,790,0.000208338939635,838,0.646425446923416,1538,0.179013701663068
,760,0.000199055062992,,,800,0.000216204176403,840,0.639220974270064,1540,0.205753507810219
,770,0.000203546405416,,,810,0.000221837989564,842,0.62990851554328,1542,0.236569809060882
,780,0.000207076299374,,,820,0.000229534639281,844,0.616774596732761,1544,0.270202844939311
,790,0.00021432235406,,,830,0.000233276703178,846,0.603869471493394,1546,0.308771560073122
,800,0.00021607325181,,,840,0.000235501597954,848,0.586555350166773,1548,0.349941464599195
,810,0.000218535035104,,,850,0.000238781245603,850,0.57003134418355,1550,0.395601605330821
,820,0.000225780599148,,,860,0.000228278731271,852,0.55004756037698,1552,0.442545342328571
,830,0.000227257770379,,,870,0.0002336667858,854,0.526554177222276,1554,0.492152363361632
,840,0.000229558332077,,,880,0.000233349474626,856,0.501120266242636,1556,0.5420915201438
,850,0.000234346793173,,,890,0.000218285540515,858,0.470389351072289,1558,0.591082186307565
,860,0.000226377234466,,,900,0.000236308326004,860,0.434794194194059,1560,0.638221127648858
,870,0.00023760184523,,,910,0.000226565494348,862,0.392914947716,1562,0.683929582559937
,880,0.000236174015373,,,920,0.00022472749615,864,0.34436721270731,1564,0.725769872080743
,890,0.000232621548885,,,930,0.000226163433656,866,0.290647665483714,1566,0.764914485265193
,900,0.000230576845217,,,940,0.000230748788151,868,0.234432457519167,1568,0.797922610287594
,910,0.000231992128929,,,950,0.000230609287228,870,0.179403431193692,1570,0.829686456390832
,920,0.000226378506661,,,960,0.000228450788539,872,0.129956721441218,1572,0.85662932585288
,930,0.000227265215234,,,970,0.000233723948854,874,0.088873296546915,1574,0.881073758800081
,940,0.000227332390987,,,980,0.000217420429678,876,0.056887329066088,1576,0.899920917282424
,950,0.000235694214137,,,990,0.000222727164859,878,0.033148490365068,1578,0.917969745087014
,960,0.000226413899702,,,1000,0.000215055517732,880,0.017206120617934,1580,0.934939139297669
,970,0.000227529393682,,,1010,0.000213819734755,882,0.007957429863508,1582,0.947845982066418
,980,0.000230301038036,,,1020,0.000209713258399,884,0.003404923590644,1584,0.957490757222833
,990,0.000224369350269,,,1030,0.000186203945768,886,0.001471086649232,1586,0.968275906547647
,1000,0.000220864791232,,,1040,0.000170550081255,888,0.000708937176298,1588,0.97754951630252
,1010,0.000207890925916,,,1050,0.000148442216666,890,0.000412466217242,1590,0.984995643363347
,1020,0.000196386919782,,,1060,0.000127636630512,892,0.000296053224393,1592,0.989840795666981
,1030,0.000179740287355,,,1070,0.000114145260222,894,0.000253754089771,1594,0.993085605943831
,1040,0.000164266072806,,,1080,9.82107741970564E-05,896,0.000230090202569,1596,0.993111474616811
,1050,0.00014151181706,,,1090,8.55447427653072E-05,898,0.000219759723889,1598,0.999107067356904
,1060,0.00011834877115,,,1100,7.30854709710632E-05,900,0.000216641320772,1600,0.999976746074716
,1070,0.000101749337545,,,0,0,902,0.000212775674735,1602,0.998091424498254
,1080,8.97952152298743E-05,,,0,0,904,0.000206968206744,1604,0.995564246872175
,1090,7.32271702134636E-05,,,0,0,906,0.00020422644967,1606,0.9904009325307
,1100,6.19371110167651E-05,,,0,0,908,0.000205835352902,1608,0.985726560141535
,0,0,,,0,0,910,0.000198711830942,1610,0.97907367634642
,0,0,,,0,0,912,0.000203718123174,1612,0.973311470956094
,0,0,,,0,0,914,0.000203710666244,1614,0.963676569623528
,0,0,,,0,0,916,0.000201808177676,1616,0.957265853163861
,0,0,,,0,0,918,0.000203967088285,1618,0.947785909505601
,0,0,,,0,0,920,0.000197959068397,1620,0.939960227382854
,0,0,,,0,0,922,0.000201820154348,1622,0.928467062790817
,0,0,,,0,0,924,0.000198804142135,1624,0.922181598232856
,0,0,,,0,0,926,0.000202442045991,1626,0.918582037413198
,0,0,,,0,0,928,0.00020256290299,1628,0.910102004006495
,0,0,,,0,0,930,0.000197051859981,1630,0.903980815858252
,0,0,,,0,0,932,0.000201051419694,1632,0.900058788646447
,0,0,,,0,0,934,0.000202137600798,1634,0.895137615478853
,0,0,,,0,0,936,0.000201478195939,1636,0.888999202731177
,0,0,,,0,0,938,0.000200709536625,1638,0.884756278926379
,0,0,,,0,0,940,0.000200939189612,1640,0.883679764788469
,0,0,,,0,0,942,0.000201095348942,1642,0.881424321031168
,0,0,,,0,0,944,0.000200875530029,1644,0.87918238169805
,0,0,,,0,0,946,0.000199828591989,1646,0.878502191948709
,0,0,,,0,0,948,0.000198696566443,1648,0.877734915597312
,0,0,,,0,0,950,0.000202854935824,1650,0.875415116409662
,0,0,,,0,0,960,0.00019762950345,1652,0.87433593441886
,0,0,,,0,0,970,0.000197815772077,1654,0.874692269182466
,0,0,,,0,0,980,0.000196732366053,1656,0.873062127686965
,0,0,,,0,0,990,0.000195931353036,1658,0.868912061817717
,0,0,,,0,0,1000,0.000190389423187,1660,0.865617465108514
,0,0,,,0,0,1010,0.000183928894676,1662,0.860705357085822
,0,0,,,0,0,1020,0.000175484587064,1664,0.85300769631827
,0,0,,,0,0,1030,0.000162135038006,1666,0.844884580574203
,0,0,,,0,0,1040,0.000149033870782,1668,0.835773298111484
,0,0,,,0,0,1050,0.000129330283245,1670,0.82221582774659
,0,0,,,0,0,1060,0.000113098042805,1672,0.806325980735648
,0,0,,,0,0,1070,9.96273129037798E-05,1674,0.788291577102283
,0,0,,,0,0,1080,8.59541604880855E-05,1676,0.769896029397523
,0,0,,,0,0,1090,7.39365615750265E-05,1678,0.74434916012986
,0,0,,,0,0,1100,6.33133397406401E-05,1680,0.718733983316212
,0,0,,,0,0,0,0,1682,0.68875213709091
,0,0,,,0,0,0,0,1684,0.654563939375182
,0,0,,,0,0,0,0,1686,0.617999756102614
,0,0,,,0,0,0,0,1688,0.57742345705844
,0,0,,,0,0,0,0,1690,0.534558086426219
,0,0,,,0,0,0,0,1692,0.487766413154971
,0,0,,,0,0,0,0,1694,0.439933265410468
,0,0,,,0,0,0,0,1696,0.392243614589618
,0,0,,,0,0,0,0,1698,0.342910707512859
,0,0,,,0,0,0,0,1700,0.297520355680177
,0,0,,,0,0,0,0,1702,0.255722529912979
,0,0,,,0,0,0,0,1704,0.217717027295415
,0,0,,,0,0,0,0,1706,0.184014667150239
,0,0,,,0,0,0,0,1708,0.154100210954386
,0,0,,,0,0,0,0,1710,0.128533666104349
,0,0,,,0,0,0,0,1712,0.107156521610447
,0,0,,,0,0,0,0,1714,0.087909861868897
,0,0,,,0,0,0,0,1716,0.071564032253687
,0,0,,,0,0,0,0,1718,0.058269159051973
,0,0,,,0,0,0,0,1720,0.046624366825376
,0,0,,,0,0,0,0,1722,0.03739851429594
,0,0,,,0,0,0,0,1724,0.0298656329401
,0,0,,,0,0,0,0,1726,0.023618780722772
,0,0,,,0,0,0,0,1728,0.018719290155567
,0,0,,,0,0,0,0,1730,0.014775031048646
,0,0,,,0,0,0,0,1732,0.011721942726431
,0,0,,,0,0,0,0,1734,0.009170502090381
,0,0,,,0,0,0,0,1736,0.007240919087335
,0,0,,,0,0,0,0,1738,0.005655266806275
,0,0,,,0,0,0,0,1740,0.00449737450334
,0,0,,,0,0,0,0,1742,0.00364476989013
,0,0,,,0,0,0,0,1744,0.00281954677181
,0,0,,,0,0,0,0,1746,0.002370815127009
,0,0,,,0,0,0,0,1748,0.001809197729723
,0,0,,,0,0,0,0,1750,0.001479791833759
,0,0,,,0,0,0,0,1752,0.001261090905745
,0,0,,,0,0,0,0,1754,0.001019671072141
,0,0,,,0,0,0,0,1756,0.000861367801644
,0,0,,,0,0,0,0,1758,0.000822460853297
,0,0,,,0,0,0,0,1760,0.000682264627617
,0,0,,,0,0,0,0,1762,0.000623783469543
,0,0,,,0,0,0,0,1764,0.00053191058738
,0,0,,,0,0,0,0,1766,0.000460090055336
,0,0,,,0,0,0,0,1768,0.000429323081942
,0,0,,,0,0,0,0,1770,0.000468888348973
,0,0,,,0,0,0,0,1772,0.000385322474299
,0,0,,,0,0,0,0,1774,0.000410384638448
,0,0,,,0,0,0,0,1776,0.000401899443711
,0,0,,,0,0,0,0,1778,0.000363116729045
,0,0,,,0,0,0,0,1780,0.000394376698453
,0,0,,,0,0,0,0,1782,0.000305625798698
,0,0,,,0,0,0,0,1784,0.000373523512642
,0,0,,,0,0,0,0,1786,0.000459340279928
,0,0,,,0,0,0,0,1788,0.000405065524524
,0,0,,,0,0,0,0,1790,0.000455482277445
,0,0,,,0,0,0,0,1792,0.00050698354091
,0,0,,,0,0,0,0,1794,0.000435199345027
,0,0,,,0,0,0,0,1796,0.000415783903598
,0,0,,,0,0,0,0,1798,0.000434765973114
,0,0,,,0,0,0,0,1800,0.00054095258035
